order_id,customer_id,customer_name,city,region,product_id,product_name,product_category,store_id,order_date,unit_price,quantity,total_amount
2276,17,Yngrid Yngverson,København,Region Hovedstaden,4,iPhone 15 Pro Max,Mobile,10.0,2023-02-01 18:54:06,12500,1,12500
1078,182,Ida Iversen,København,Region Hovedstaden,2,"Samsung 75"" QLED 4K TV",Home Entertainment,5.0,2023-02-02 18:54:06,15000,1,15000
1522,60,Zacharia Zeuthen,MIDDELFART,Region Syddanmark,12,Logitech MX Master 3S Mouse,Computing,3.0,2023-02-02 18:54:06,800,1,800
1522,60,Zacharia Zeuthen,Middelfart,Region Syddanmark,6,Screen Protector Kit, Accessories ,,2023-02-02 18:54:06,200,1,200
1522,60,,Middelfart,Region Syddanmark,5,USB-C Charging Cable,Accessories,10.0,2023-02-02 18:54:06,150,3,450
1522,60,Zacharia Zeuthen,middelfart,Region Syddanmark,12,Logitech MX Master 3S Mouse,Computing,7.0,2023-02-02 18:54:06,800,1,800
1213,85,,KØBENHAVN,Region Hovedstaden,1,MacBook Pro M3 Max,Computing,5.0,2023-02-03 18:54:06,28000,1,28000
1692,158,Ulla Ulriksen,GLOSTRUP,Region Hovedstaden,2,"Samsung 75"" QLED 4K TV",Home Entertainment,14.0,2023-02-03 18:54:06,15000,5,75000
1692,158,Ulla Ulriksen,GLOSTRUP,Region Hovedstaden,3,Sony Alpha a7 IV Camera,Computing,1.0,2023-02-03 18:54:06,18000,1,18000
1023,89,Uffe Udsholt, København ,Region Hovedstaden,9,Apple AirPods Pro (2nd Gen),Audio,8.0,2023-02-04 18:54:06,2200,1,2200
1797,118,Zita Zimmer,Frederiksberg,Region Hovedstaden,10,Kindle Paperwhite,Computing,15.0,2023-02-04 18:54:06,1500,1,1500
1797,118,,Frederiksberg,Region Hovedstaden,11,Bose QuietComfort Headphones,Audio,14.0,2023-02-04 18:54:06,3800,4,15200
1423,98,Quincy Quist,København,Region Hovedstaden,5,USB-C Charging Cable,Accessories,4.0,2023-02-05 18:54:06,150,1,150
1423,98,Quincy Quist,København,Region Hovedstaden,2,"Samsung 75"" QLED 4K TV",Home Entertainment,3.0,2023-02-05 18:54:06,15000,1,15000
1061,122,Karin Kierkegaard,København,Region Hovedstaden,7,AA Alkaline Batteries,Accessories,3.0,2023-02-08 18:54:06,80,3,240
1824,172,Uffe Udsholt,Esbjerg,Region Syddanmark,2,"Samsung 75"" QLED 4K TV",Home Entertainment,5.0,2023-02-08 18:54:06,15000,2,30000
1824,172,Uffe Udsholt,Esbjerg,Region Syddanmark,6,Screen Protector Kit,Accessories,12.0,08/02/2023,200,1,200
1352,98,Quincy Quist,København,Region Hovedstaden,11,Bose QuietComfort Headphones,Audio,6.0,2023-02-09 18:54:06,3800,2,7600
1352,98,Quincy Quist,københavn,Region Hovedstaden,9,Apple AirPods Pro (2nd Gen),Audio,1.0,2023-02-09 18:54:06,2200,1,2200
